Policy Update,Mean Meta-Episode Return
1,-1170.792
2,-1117.243
3,-1162.217
4,-1136.644
5,-1118.914
6,-1122.578
7,-1135.201
8,-1107.297
9,-1140.763
10,-1115.702
11,-1108.364
12,-1105.282
13,-1112.401
14,-1105.207
15,-1118.566
16,-1130.02
17,-1138.702
18,-1140.304
19,-1147.109
20,-1149.363
21,-1148.459
22,-1146.431
23,-1150.486
24,-1149.88
25,-1148.422
26,-1147.346
27,-1142.993
28,-1142.808
29,-1143.723
30,-1137.625
31,-1135.545
32,-1128.96
33,-1122.0
34,-1114.594
35,-1105.026
36,-1101.578
37,-1100.266
38,-1090.675
39,-1081.061
40,-1075.122
41,-1072.244
42,-1070.403
43,-1064.62
44,-1060.968
45,-1061.076
46,-1057.14
47,-1063.248
48,-1064.85
49,-1065.566
50,-1064.284
51,-1060.576
52,-1062.844
53,-1056.111
54,-1054.6
55,-1051.484
56,-1046.891
57,-1043.556
58,-1041.176
59,-1026.654
60,-1025.403
61,-1020.062
62,-1015.358
63,-1004.222
64,-991.867
65,-978.008
66,-963.257
67,-948.007
68,-937.795
69,-924.749
70,-913.547
71,-899.153
72,-886.154
73,-871.505
74,-856.32
75,-841.532
76,-825.951
77,-812.987
78,-797.937
79,-782.854
